devicetime,latitude,longitude,ac_lat,angle_volante,yaw_rate,rpm,score,anomaly,anomaly_data
2022-12-04 00:35:25.000,"-22,574,325","-688,021,233",-0.63,-0.17,0.0,1325.0,"11,011,281,546",0,No
2022-12-04 00:35:26.000,"-225,741","-688,020,433",-0.13,-0.26,-0.01,1327.0,"7,331,990,095",0,No
2022-12-04 00:35:27.000,"-225,738,866","-68,801,965",-0.51,-0.37,-0.03,1330.0,"10,134,247,691",0,No
2022-12-04 00:35:28.000,"-225,736,583","-68,801,885",-1.07,-0.49,-0.04,1333.0,"21,257,390,769",1,Yes
2022-12-04 00:35:29.000,"-225,734,483","-688,017,883",-1.25,-0.49,-0.03,1327.0,"25,258,074,604",1,Yes
2022-12-04 00:35:30.000,"-225,732,233","-688,016,966",-0.71,-0.48,-0.03,1328.0,"12,248,894,609",0,No
2022-12-04 00:35:31.000,"-22,573","-688,015,883",-1.53,-0.45,-0.04,1338.0,"3,146,932,484",1,Yes
2022-12-04 00:35:32.000,"-22,572,785","-688,014,733",-0.75,-0.42,-0.02,1341.0,"13,418,365,219",0,No
2022-12-04 00:35:33.000,"-225,725,783","-68,801,345",-0.57,0.0,0.0,1337.0,"10,624,935,937",0,No
2022-12-04 00:35:34.000,"-225,723,816","-688,012,016",0.12,0.11,0.0,1352.0,"7,778,901,369",0,No
2022-12-04 00:35:36.000,"-2,257,199","-688,008,916",-0.08,0.2,0.02,1351.0,"7,512,313,795",0,No
2022-12-04 00:35:37.000,"-2,257,199","-688,008,916",0.1,0.23,0.02,1358.0,"7,764,736,227",0,No
2022-12-04 00:35:38.000,"-22,571,795","-688,007,566",0.14,0.29,0.03,1356.0,"805,087,239",0,No
2022-12-04 00:35:39.000,"-225,715,916","-6,880,062",-0.08,0.17,0.02,1365.0,"7,512,313,795",0,No
2022-12-04 00:35:39.000,"-22,571,385","-6,880,049",0.07,0.06,0.0,1371.0,"7,661,680,954",0,No
2022-12-04 00:35:40.000,"-2,257,117","-688,003,616",-0.17,0.03,0.01,1373.0,"6,969,869,696",0,No
2022-12-04 00:35:41.000,"-225,709,533","-688,002,416",0.08,0.05,0.01,1369.0,"7,539,225,724",0,No
2022-12-04 00:35:42.000,"-225,707,366","-688,001,216",0.02,-0.04,0.0,1362.0,"7,904,928,679",0,No
2022-12-04 00:35:43.000,"-225,705,166","-687,999,983",-0.51,-0.06,0.01,1362.0,"10,134,247,691",0,No
2022-12-04 00:35:44.000,"-225,703","-68,799,875",0.0,-0.03,0.0,1363.0,"6,813,183,741",0,No
2022-12-04 00:35:45.000,"-22,570,085","-687,997,566",0.1,-0.03,0.01,1360.0,"7,764,736,227",0,No
2022-12-04 00:35:46.000,"-225,698,666","-6,879,964",-0.59,-0.04,0.0,1358.0,"10,749,093,352",0,No
2022-12-04 00:35:47.000,"-225,696,483","-687,995,216",-0.15,0.08,0.01,1362.0,"7,289,605,214",0,No
2022-12-04 00:35:48.000,"-225,692,116","-687,992,966",0.2,0.18,0.02,1363.0,"8,846,052,551",0,No
2022-12-04 00:35:49.000,"-225,689,916","-687,991,866",0.25,0.19,0.02,1369.0,"8,247,216,404",0,No
2022-12-04 00:35:50.000,"-225,687,683","-687,990,783",0.46,0.25,0.02,1375.0,"9,803,196,201",0,No
2022-12-04 00:35:51.000,"-225,685,433","-687,989,733",0.25,0.25,0.02,1381.0,"8,247,216,404",0,No
2022-12-04 00:35:52.000,"-225,683,166","-687,988,733",0.16,0.24,0.03,1384.0,"8,090,370,888",0,No
2022-12-04 00:35:53.000,"-225,680,833","-687,987,833",-0.27,0.03,0.0,1375.0,"7,867,855,512",0,No
2022-12-04 00:35:55.000,"-225,678,466","-687,986,983",-0.67,-0.1,0.0,1379.0,"11,647,318,053",0,No
2022-12-04 00:35:56.000,"-225,676,116","-687,986,116",-0.15,-0.14,-0.01,1376.0,"7,289,605,214",0,No
2022-12-04 00:35:57.000,"-225,673,766","-687,985,283",0.07,-0.19,0.0,1375.0,"7,661,680,954",0,No
2022-12-04 00:35:58.000,"-225,671,416","-687,984,416",-0.65,-0.37,-0.01,1372.0,"11,107,152,668",0,No
2022-12-04 00:35:59.000,"-2,256,691","-687,983,516",0.12,-0.28,-0.02,1372.0,"7,778,901,369",0,No
2022-12-04 00:36:00.000,"-225,666,816","-68,798,255",0.73,-0.18,-0.03,1369.0,"11,705,000,148",0,No
2022-12-04 00:36:01.000,"-225,664,566","-687,981,566",0.0,-0.06,0.0,1371.0,"6,813,183,741",0,No
2022-12-04 00:36:02.000,"-225,662,316","-687,980,516",-0.35,0.06,0.0,1375.0,"8,240,613,259",0,No
2022-12-04 00:36:03.000,"-225,660,083","-687,979,433",0.14,0.14,0.0,1371.0,"805,087,239",0,No
2022-12-04 00:36:04.000,"-225,657,866","-6,879,783",-0.59,-0.03,0.0,1369.0,"10,749,093,352",0,No
2022-12-04 00:36:05.000,"-22,565,565","-6,879,772",-0.71,-0.11,0.0,1369.0,"12,248,894,609",0,No
2022-12-04 00:36:06.000,"-225,653,433","-687,976,116",-0.08,0.08,0.0,1366.0,"7,512,313,795",0,No
2022-12-04 00:36:06.000,"-2,256,512","-68,797,505",-0.13,0.15,0.01,1367.0,"7,331,990,095",0,No
2022-12-04 00:36:08.000,"-225,648,966","-687,974",0.08,0.13,0.01,1369.0,"7,539,225,724",0,No
2022-12-04 00:36:09.000,"-225,646,733","-687,972,966",0.46,0.21,0.02,1357.0,"9,803,196,201",0,No
2022-12-04 00:36:10.000,"-225,644,483","-687,971,966",0.16,0.23,0.02,1353.0,"8,090,370,888",0,No
2022-12-04 00:36:11.000,"-2,256,422","-687,971,033",0.48,0.15,0.02,1347.0,"10,076,798,002",0,No
2022-12-04 00:36:20.000,"-225,621,466","-687,964,733",-0.35,0.26,0.02,1364.0,"8,240,613,259",0,No
2022-12-04 00:36:21.000,"-225,619,083","-687,964,266",0.26,0.26,0.02,1369.0,"8,250,415,489",0,No
2022-12-04 00:36:22.000,"-225,616,683","-687,963,816",0.0,0.25,0.02,1373.0,"6,813,183,741",0,No
2022-12-04 00:36:23.000,"-225,614,266","-687,963,433",0.16,0.31,0.01,1372.0,"8,090,370,888",0,No
2022-12-04 00:36:24.000,"-225,611,833","-687,963,066",0.28,0.29,0.02,1361.0,"8,277,449,754",0,No
2022-12-04 00:36:25.000,"-2,256,094","-68,796,275",-0.11,0.13,0.01,1359.0,"7,406,238,886",0,No
2022-12-04 00:36:26.000,"-22,560,695","-6,879,625",0.28,0.09,0.0,1364.0,"8,277,449,754",0,No
2022-12-04 00:36:27.000,"-225,604,516","-687,962,283",-0.29,0.15,0.01,1364.0,"8,302,432,291",0,No
2022-12-04 00:36:28.000,"-225,602,083","-687,962,083",-0.01,0.02,0.0,1359.0,"7,499,012,288",0,No
2022-12-04 00:36:29.000,"-225,599,616","-687,961,883",-0.47,0.02,0.0,1358.0,"9,752,031,968",0,No
2022-12-04 00:36:29.000,"-225,599,616","-687,961,883",-0.65,-0.14,0.01,1360.0,"11,107,152,668",0,No
2022-12-04 00:36:30.000,"-225,597,216","-68,796,175",0.46,0.14,0.01,1359.0,"9,803,196,201",0,No
2022-12-04 00:36:31.000,"-225,594,816","-6,879,616",-0.24,0.09,0.0,1356.0,"7,552,192,304",0,No
2022-12-04 00:36:32.000,"-2,255,924","-687,961,416",0.26,0.14,0.0,1360.0,"8,250,415,489",0,No
2022-12-04 00:36:33.000,"-22,559","-687,961,233",0.04,0.1,0.0,1358.0,"7,959,955,242",0,No
2022-12-04 00:36:34.000,"-225,587,583","-68,796,105",0.3,0.1,0.0,1362.0,"8,083,016,842",0,No
2022-12-04 00:36:35.000,"-225,585,183","-687,960,866",-0.19,0.14,0.01,1358.0,"6,913,741,005",0,No
2022-12-04 00:36:36.000,"-22,558,025","-687,960,683",0.23,0.14,0.0,1359.0,"807,768,115",0,No
2022-12-04 00:36:37.000,"-225,577,833","-687,960,566",-0.17,0.06,0.01,1356.0,"6,969,869,696",0,No
2022-12-04 00:36:38.000,"-22,557,545","-6,879,605",-0.41,0.1,0.0,1353.0,"8,901,747,193",0,No
2022-12-04 00:36:39.000,"-225,572,966","-687,960,383",-0.03,0.09,0.0,1359.0,"7,589,447,784",0,No
2022-12-04 00:36:40.000,"-225,570,566","-687,960,183",0.26,0.06,0.01,1356.0,"8,250,415,489",0,No
2022-12-04 00:36:41.000,"-225,568,183","-687,960,133",-0.71,0.06,0.0,1357.0,"12,248,894,609",0,No
2022-12-04 00:36:43.000,"-225,565,766","-68,796",-0.23,0.11,0.0,1353.0,"7,405,026,519",0,No
2022-12-04 00:36:44.000,"-225,565,766","-68,796",0.16,0.15,0.0,1358.0,"8,090,370,888",0,No
2022-12-04 00:36:45.000,"-2,255,609","-687,959,516",-0.47,0.09,0.0,1355.0,"9,752,031,968",0,No
2022-12-04 00:36:46.000,"-225,558,483","-687,959,316",-0.11,0.09,0.0,1356.0,"7,406,238,886",0,No
2022-12-04 00:36:47.000,"-225,556,033","-6,879,591",0.94,0.21,0.01,1358.0,"20,803,679,272",1,Yes
